"epoch","loss","lr","part","step","time","accuracy","auprc","auroc","challenge_metric","f_beta_measure","f_measure","g_beta_measure"
0.0,0.4602632224559784,8.000730236035311e-05,"train",20.0,"2021-11-21 08:23:13.741010","","","","","","",""
0.0,0.2736780643463135,8.002920933031948e-05,"train",40.0,"2021-11-21 08:23:17.633023","","","","","","",""
0.0,0.12120503932237625,8.006572057662293e-05,"train",60.0,"2021-11-21 08:23:20.860334","","","","","","",""
0.0,0.1358409821987152,8.011683554380914e-05,"train",80.0,"2021-11-21 08:23:24.116891","","","","","","",""
0.0,0.1291947066783905,8.018255345425274e-05,"train",100.0,"2021-11-21 08:23:27.340290","","","","","","",""
0.0,0.13552497327327728,8.026287330817079e-05,"train",120.0,"2021-11-21 08:23:30.564444","","","","","","",""
0.0,0.13247328996658325,8.03577938836373e-05,"train",140.0,"2021-11-21 08:23:34.439934","","","","","","",""
0.0,0.13536231219768524,8.04673137366021e-05,"train",160.0,"2021-11-21 08:23:37.711878","","","","","","",""
0.0,0.12050464004278183,8.059143120091187e-05,"train",180.0,"2021-11-21 08:23:40.959923","","","","","","",""
0.0,0.11825323849916458,8.073014438833613e-05,"train",200.0,"2021-11-21 08:23:44.136567","","","","","","",""
0.0,0.11444825679063797,8.088345118859724e-05,"train",220.0,"2021-11-21 08:23:47.316481","","","","","","",""
0.0,0.1386728286743164,8.10513492693996e-05,"train",240.0,"2021-11-21 08:23:51.043908","","","","","","",""
0.0,0.12149984389543533,8.123383607646804e-05,"train",260.0,"2021-11-21 08:23:54.269874","","","","","","",""
0.0,0.12172574549913406,8.143090883358495e-05,"train",280.0,"2021-11-21 08:23:57.552684","","","","","","",""
0.0,0.1232551634311676,8.164256454263295e-05,"train",300.0,"2021-11-21 08:24:00.834303","","","","","","",""
0.0,0.12142996490001678,8.186879998364088e-05,"train",320.0,"2021-11-21 08:24:04.069765","","","","","","",""
0.0,0.121072918176651,8.210961171483213e-05,"train",340.0,"2021-11-21 08:24:07.864457","","","","","","",""
0.0,0.11870739609003067,8.236499607267717e-05,"train",360.0,"2021-11-21 08:24:11.070572","","","","","","",""
0.0,0.11801182478666306,8.26349491719505e-05,"train",380.0,"2021-11-21 08:24:14.280367","","","","","","",""
0.0,0.11065395176410675,8.291946690578713e-05,"train",400.0,"2021-11-21 08:24:17.452268","","","","","","",""
0.0,0.11239404231309891,8.321854494574774e-05,"train",420.0,"2021-11-21 08:24:20.604953","","","","","","",""
0.0,0.12097865343093872,8.353217874188293e-05,"train",440.0,"2021-11-21 08:24:24.305461","","","","","","",""
