"epoch","loss","lr","part","step","time","accuracy","auprc","auroc","challenge_metric","f_beta_measure","f_measure","g_beta_measure"
0.0,0.11637014895677567,8.000730236035311e-05,"train",20.0,"2021-11-23 01:07:50.120608","","","","","","",""
0.0,0.10961033403873444,8.002920933031948e-05,"train",40.0,"2021-11-23 01:07:55.222302","","","","","","",""
0.0,0.09273877739906311,8.006572057662293e-05,"train",60.0,"2021-11-23 01:08:00.212141","","","","","","",""
0.0,0.09955820441246033,8.011683554380914e-05,"train",80.0,"2021-11-23 01:08:05.932093","","","","","","",""
0.0,0.09316861629486084,8.018255345425274e-05,"train",100.0,"2021-11-23 01:08:10.900719","","","","","","",""
0.0,0.07578597962856293,8.026287330817079e-05,"train",120.0,"2021-11-23 01:08:16.382090","","","","","","",""
0.0,0.0794953778386116,8.03577938836373e-05,"train",140.0,"2021-11-23 01:08:21.282840","","","","","","",""
0.0,0.0843101367354393,8.04673137366021e-05,"train",160.0,"2021-11-23 01:08:26.788632","","","","","","",""
0.0,0.0841006189584732,8.059143120091187e-05,"train",180.0,"2021-11-23 01:08:31.777963","","","","","","",""
0.0,0.0850183442234993,8.073014438833613e-05,"train",200.0,"2021-11-23 01:08:36.781491","","","","","","",""
0.0,0.07245683670043945,8.088345118859724e-05,"train",220.0,"2021-11-23 01:08:42.355064","","","","","","",""
0.0,0.08383788913488388,8.10513492693996e-05,"train",240.0,"2021-11-23 01:08:47.337181","","","","","","",""
0.0,0.06669134646654129,8.123383607646804e-05,"train",260.0,"2021-11-23 01:08:52.934754","","","","","","",""
0.0,0.08347883820533752,8.143090883358495e-05,"train",280.0,"2021-11-23 01:08:57.897634","","","","","","",""
0.0,0.07103525847196579,8.164256454263295e-05,"train",300.0,"2021-11-23 01:09:02.868889","","","","","","",""
0.0,0.07720203697681427,8.186879998364088e-05,"train",320.0,"2021-11-23 01:09:08.422048","","","","","","",""
0.0,0.08137869834899902,8.210961171483213e-05,"train",340.0,"2021-11-23 01:09:13.432612","","","","","","",""
0.0,0.10328179597854614,8.236499607267717e-05,"train",360.0,"2021-11-23 01:09:19.026883","","","","","","",""
0.0,0.10722639411687851,8.26349491719505e-05,"train",380.0,"2021-11-23 01:09:24.034450","","","","","","",""
0.0,0.06884905695915222,8.291946690578713e-05,"train",400.0,"2021-11-23 01:09:29.099348","","","","","","",""
0.0,0.06588679552078247,8.321854494574774e-05,"train",420.0,"2021-11-23 01:09:34.755218","","","","","","",""
0.0,0.09117119759321213,8.353217874188293e-05,"train",440.0,"2021-11-23 01:09:39.805527","","","","","","",""
0.0,0.06217651441693306,8.38603635228035e-05,"train",460.0,"2021-11-23 01:09:44.845293","","","","","","",""
0.0,0.07841122150421143,8.420309429575212e-05,"train",480.0,"2021-11-23 01:09:50.489470","","","","","","",""
0.0,0.09368369728326797,8.456036584667914e-05,"train",500.0,"2021-11-23 01:09:55.517736","","","","","","",""
0.0,0.08167361468076706,8.493217274032315e-05,"train",520.0,"2021-11-23 01:10:01.311344","","","","","","",""
0.0,0.05877496302127838,8.531850932029235e-05,"train",540.0,"2021-11-23 01:10:06.401903","","","","","","",""
0.0,0.08457202464342117,8.571936970915212e-05,"train",560.0,"2021-11-23 01:10:11.454069","","","","","","",""
0.0,0.09452071040868759,8.613474780851246e-05,"train",580.0,"2021-11-23 01:10:17.087711","","","","","","",""
0.0,0.061012350022792816,8.656463729912224e-05,"train",600.0,"2021-11-23 01:10:22.109901","","","","","","",""
