"epoch","loss","lr","part","step","time","accuracy","auprc","auroc","challenge_metric","f_beta_measure","f_measure","g_beta_measure"
0.0,0.16807563602924347,8.000730236035311e-05,"train",20.0,"2021-11-30 22:53:43.451123","","","","","","",""
0.0,0.16478988528251648,8.002920933031948e-05,"train",40.0,"2021-11-30 22:53:47.250169","","","","","","",""
0.0,0.1316017061471939,8.006572057662293e-05,"train",60.0,"2021-11-30 22:53:51.476483","","","","","","",""
0.0,0.14273637533187866,8.011683554380914e-05,"train",80.0,"2021-11-30 22:53:55.327953","","","","","","",""
0.0,0.1555364727973938,8.018255345425274e-05,"train",100.0,"2021-11-30 22:53:59.193727","","","","","","",""
0.0,0.12606987357139587,8.026287330817079e-05,"train",120.0,"2021-11-30 22:54:03.373474","","","","","","",""
0.0,0.12816008925437927,8.03577938836373e-05,"train",140.0,"2021-11-30 22:54:07.225496","","","","","","",""
0.0,0.1306760609149933,8.04673137366021e-05,"train",160.0,"2021-11-30 22:54:11.074609","","","","","","",""
0.0,0.12636762857437134,8.059143120091187e-05,"train",180.0,"2021-11-30 22:54:15.277166","","","","","","",""
0.0,0.12038541585206985,8.073014438833613e-05,"train",200.0,"2021-11-30 22:54:19.121403","","","","","","",""
0.0,0.13579769432544708,8.088345118859724e-05,"train",220.0,"2021-11-30 22:54:22.936936","","","","","","",""
0.0,0.1207209900021553,8.10513492693996e-05,"train",240.0,"2021-11-30 22:54:27.166789","","","","","","",""
0.0,0.13134250044822693,8.123383607646804e-05,"train",260.0,"2021-11-30 22:54:31.037144","","","","","","",""
0.0,0.11542688310146332,8.143090883358495e-05,"train",280.0,"2021-11-30 22:54:34.932595","","","","","","",""
0.0,0.11095768213272095,8.164256454263295e-05,"train",300.0,"2021-11-30 22:54:39.150183","","","","","","",""
0.0,0.12721766531467438,8.186879998364088e-05,"train",320.0,"2021-11-30 22:54:42.966791","","","","","","",""
0.0,0.11446230858564377,8.210961171483213e-05,"train",340.0,"2021-11-30 22:54:46.751218","","","","","","",""
0.0,0.1229817345738411,8.236499607267717e-05,"train",360.0,"2021-11-30 22:54:50.888859","","","","","","",""
0.0,0.11930932849645615,8.26349491719505e-05,"train",380.0,"2021-11-30 22:54:54.644461","","","","","","",""
0.0,0.1286604106426239,8.291946690578713e-05,"train",400.0,"2021-11-30 22:54:58.506401","","","","","","",""
0.0,0.10409290343523026,8.321854494574774e-05,"train",420.0,"2021-11-30 22:55:02.626197","","","","","","",""
0.0,0.10046765953302383,8.353217874188293e-05,"train",440.0,"2021-11-30 22:55:06.384249","","","","","","",""
0.0,0.09852679073810577,8.38603635228035e-05,"train",460.0,"2021-11-30 22:55:10.217353","","","","","","",""
0.0,0.13590800762176514,8.420309429575212e-05,"train",480.0,"2021-11-30 22:55:14.466588","","","","","","",""
0.0,0.10644194483757019,8.456036584667914e-05,"train",500.0,"2021-11-30 22:55:18.308022","","","","","","",""
0.0,0.11367969959974289,8.493217274032315e-05,"train",520.0,"2021-11-30 22:55:22.072750","","","","","","",""
0.0,0.10989672690629959,8.531850932029235e-05,"train",540.0,"2021-11-30 22:55:26.192809","","","","","","",""
0.0,0.10639552026987076,8.571936970915212e-05,"train",560.0,"2021-11-30 22:55:30.014396","","","","","","",""
0.0,0.09900893270969391,8.613474780851246e-05,"train",580.0,"2021-11-30 22:55:33.899541","","","","","","",""
0.0,0.13212968409061432,8.656463729912224e-05,"train",600.0,"2021-11-30 22:55:38.095352","","","","","","",""
0.0,0.13057732582092285,8.700903164096468e-05,"train",620.0,"2021-11-30 22:55:41.871312","","","","","","",""
0.0,0.1089201346039772,8.746792407335769e-05,"train",640.0,"2021-11-30 22:55:45.629555","","","","","","",""
0.0,0.1050899401307106,8.794130761505497e-05,"train",660.0,"2021-11-30 22:55:49.719372","","","","","","",""
0.0,0.0800718367099762,8.842917506435462e-05,"train",680.0,"2021-11-30 22:55:53.503840","","","","","","",""
0.0,0.11262040585279465,8.893151899920645e-05,"train",700.0,"2021-11-30 22:55:57.384235","","","","","","",""
0.0,0.11328934133052826,8.944833177732632e-05,"train",720.0,"2021-11-30 22:56:01.408632","","","","","","",""
0.0,0.09936707466840744,8.997960553631186e-05,"train",740.0,"2021-11-30 22:56:05.226246","","","","","","",""
0.0,0.09098413586616516,9.052533219376224e-05,"train",760.0,"2021-11-30 22:56:09.035383","","","","","","",""
0.0,0.12514987587928772,9.108550344740104e-05,"train",780.0,"2021-11-30 22:56:13.145228","","","","","","",""
0.0,0.10492077469825745,9.166011077520208e-05,"train",800.0,"2021-11-30 22:56:16.842898","","","","","","",""
0.0,0.10021749138832092,9.224914543552059e-05,"train",820.0,"2021-11-30 22:56:20.507802","","","","","","",""
