"epoch","loss","lr","part","step","time","accuracy","auprc","auroc","challenge_metric","f_beta_measure","f_measure","g_beta_measure"
0.0,0.18814590573310852,6.0129391249690326e-05,"train",200.0,"2021-12-10 00:07:46.990529","","","","","","",""
0.0,0.12226508557796478,6.0517518492940806e-05,"train",400.0,"2021-12-10 00:08:12.526403","","","","","","",""
0.0,0.11734169721603394,6.116424222900405e-05,"train",600.0,"2021-12-10 00:08:38.487419","","","","","","",""
0.0,0.12992841005325317,6.206933001234546e-05,"train",800.0,"2021-12-10 00:09:04.927687","","","","","","",""
0.0,0.12429917603731155,6.323245653618893e-05,"train",1000.0,"2021-12-10 00:09:30.931702","","","","","","",""
0.0,0.1179814413189888,6.465320374943921e-05,"train",1200.0,"2021-12-10 00:09:57.743948","","","","","","",""
0.0,0.12724348902702332,6.633106100693625e-05,"train",1400.0,"2021-12-10 00:10:24.122236","","","","","","",""
0.0,0.12899444997310638,6.826542525299305e-05,"train",1600.0,"2021-12-10 00:10:50.556896","","","","","","",""
0.0,0.11706660687923431,7.045560123814573e-05,"train",1800.0,"2021-12-10 00:11:16.606028","","","","","","",""
0.0,0.09402529150247574,7.290080176903884e-05,"train",2000.0,"2021-12-10 00:11:43.116938","","","","","","",""
0.0,0.10081806033849716,7.560014799136037e-05,"train",2200.0,"2021-12-10 00:12:09.434551","","","","","","",""
0.0,0.12245659530162811,7.855266970571858e-05,"train",2400.0,"2021-12-10 00:12:35.868489","","","","","","",""
0.0,"","","val",2455.0,"2021-12-10 00:13:11.392123",0.3942363446596312,0.2960115116028582,0.832715274978307,0.36279054122554355,0.24347268928688712,0.23043444757660717,0.1412767411332547
1.0,0.12724438309669495,8.175730571635133e-05,"train",2600.0,"2021-12-10 00:13:34.196396","","","","","","",""
1.0,0.08723680675029755,8.521290421254087e-05,"train",2800.0,"2021-12-10 00:14:01.561090","","","","","","",""
1.0,0.09857633709907532,8.891822318259925e-05,"train",3000.0,"2021-12-10 00:14:28.113180","","","","","","",""
1.0,0.09144353866577148,9.28719308602706e-05,"train",3200.0,"2021-12-10 00:14:54.577165","","","","","","",""
1.0,0.08889228105545044,9.707260620339577e-05,"train",3400.0,"2021-12-10 00:15:21.151027","","","","","","",""
1.0,0.08527485281229019,0.00010151873940466324,"train",3600.0,"2021-12-10 00:15:48.661594","","","","","","",""
1.0,0.10496501624584198,0.00010620873243426384,"train",3800.0,"2021-12-10 00:16:14.301244","","","","","","",""
1.0,0.1239660307765007,0.00011114089961425551,"train",4000.0,"2021-12-10 00:16:41.273948","","","","","","",""
1.0,0.12145385146141052,0.0001163134682244302,"train",4200.0,"2021-12-10 00:17:08.029497","","","","","","",""
1.0,0.09901342540979385,0.0001217245791394633,"train",4400.0,"2021-12-10 00:17:34.696709","","","","","","",""
1.0,0.08687230199575424,0.00012737228749712328,"train",4600.0,"2021-12-10 00:18:00.756904","","","","","","",""
1.0,0.11381293833255768,0.00013325456339729255,"train",4800.0,"2021-12-10 00:18:27.202625","","","","","","",""
1.0,"","","val",4910.0,"2021-12-10 00:19:10.484536",0.4031659515249913,0.36502201723304456,0.8775680493997312,0.4541528873717382,0.30869374993629584,0.29010055211072966,0.18456726829560668
2.0,0.1326456218957901,0.00013936929263155514,"train",5000.0,"2021-12-10 00:19:25.023135","","","","","","",""
2.0,0.12688125669956207,0.000145714277443086,"train",5200.0,"2021-12-10 00:19:52.693722","","","","","","",""
2.0,0.09109354019165039,0.00015228723731656774,"train",5400.0,"2021-12-10 00:20:19.356511","","","","","","",""
2.0,0.10844801366329193,0.00015908580979785594,"train",5600.0,"2021-12-10 00:20:46.014157","","","","","","",""
2.0,0.11821013689041138,0.0001661075513430905,"train",5800.0,"2021-12-10 00:21:12.516989","","","","","","",""
2.0,0.0863749235868454,0.00017334993819695648,"train",6000.0,"2021-12-10 00:21:38.880879","","","","","","",""
2.0,0.06900246441364288,0.0001808103672997709,"train",6200.0,"2021-12-10 00:22:05.641997","","","","","","",""
2.0,0.10261934995651245,0.000188486157223076,"train",6400.0,"2021-12-10 00:22:32.286085","","","","","","",""
2.0,0.06501425057649612,0.00019637454913339807,"train",6600.0,"2021-12-10 00:22:58.487320","","","","","","",""
2.0,0.10270173102617264,0.0002044727077838279,"train",6800.0,"2021-12-10 00:23:25.807038","","","","","","",""
2.0,0.10008247196674347,0.00021277772253306543,"train",7000.0,"2021-12-10 00:23:53.253907","","","","","","",""
2.0,0.13029052317142487,0.00022128660839156327,"train",7200.0,"2021-12-10 00:24:20.486111","","","","","","",""
2.0,"","","val",7365.0,"2021-12-10 00:25:10.513271",0.4418415864548301,0.4070156679059307,0.8997873079570327,0.48812978705423316,0.33915867160370045,0.3248709270183714,0.21014150067172022
3.0,0.07483937591314316,0.0002299963070943917,"train",7400.0,"2021-12-10 00:25:18.049785","","","","","","",""
3.0,0.09665746986865997,0.0002389036882004406,"train",7600.0,"2021-12-10 00:25:44.937830","","","","","","",""
3.0,0.06824357807636261,0.0002480055502175635,"train",7800.0,"2021-12-10 00:26:11.320250","","","","","","",""
3.0,0.09605468064546585,0.000257298621753258,"train",8000.0,"2021-12-10 00:26:37.730807","","","","","","",""
3.0,0.08231054991483688,0.00026677956269046993,"train",8200.0,"2021-12-10 00:27:03.786468","","","","","","",""
3.0,0.07546721398830414,0.0002764449653880985,"train",8400.0,"2021-12-10 00:27:29.879778","","","","","","",""
3.0,0.10403221845626831,0.0002862913559057729,"train",8600.0,"2021-12-10 00:27:57.340011","","","","","","",""
